Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z
-38.89481354,248.2272797,-2883.444092,-58.06468964,246.4828644,-2876.575684,-46.02835465,245.5417633,-2878.734131,-14.70699883,249.8735657,-2898.559326,-4.194813251,253.207016,-2912.651611,-8.189154625,251.7768097,-2904.17334
-38.89334488,248.2342224,-2883.445068,-58.06205368,246.4863281,-2876.577637,-46.02613068,245.5467834,-2878.736084,-14.70599747,249.8858337,-2898.560547,-4.191921234,253.2206879,-2912.649658,-8.185506821,251.7898407,-2904.172363
-38.89138031,248.2396393,-2883.450439,-58.05585861,246.4845428,-2876.582275,-46.02087402,245.5491028,-2878.741211,-14.70241737,249.8995361,-2898.564209,-4.186892033,253.2374725,-2912.65332,-8.181340218,251.8048859,-2904.175537
-38.88520432,248.2367706,-2883.456055,-58.04955673,246.4750824,-2876.587646,-46.01317596,245.5450745,-2878.746094,-14.69650936,249.9073486,-2898.568604,-4.180216312,253.2487793,-2912.65625,-8.175974846,251.8157959,-2904.178711
-38.88470078,248.2344208,-2883.459961,-58.05033875,246.4741516,-2876.595459,-46.01412964,245.543457,-2878.750732,-14.69292355,249.9046478,-2898.566406,-4.174786091,253.2451172,-2912.654053,-8.170955658,251.8142853,-2904.176025
-38.90935898,248.2356873,-2883.462402,-58.08656693,246.4806824,-2876.612305,-46.04747391,245.548172,-2878.756104,-14.71364021,249.8935242,-2898.557373,-4.18807888,253.2258911,-2912.643555,-8.189777374,251.7985687,-2904.16626
-38.94739914,248.2410431,-2883.459717,-58.13368988,246.5013123,-2876.614502,-46.096241,245.5606537,-2878.755371,-14.74885559,249.8778229,-2898.544434,-4.220187187,253.1963654,-2912.629395,-8.226934433,251.776947,-2904.15332
-39.02270889,248.2686157,-2883.441162,-58.22464752,246.5722809,-2876.609375,-46.19132233,245.6078949,-2878.741211,-14.81127834,249.8460541,-2898.512451,-4.273021221,253.1268768,-2912.598877,-8.28935051,251.7256317,-2904.120117
-39.155056,248.3127289,-2883.400635,-58.36935806,246.6973724,-2876.594482,-46.34185028,245.6873932,-2878.710693,-14.90058327,249.7792969,-2898.433105,-4.332240105,252.9977417,-2912.512451,-8.373783112,251.6269684,-2904.035156
-39.31598282,248.3651581,-2883.337402,-58.53286743,246.8521576,-2876.565674,-46.50028229,245.785965,-2878.654053,-15.00246429,249.6985168,-2898.321045,-4.398217678,252.841217,-2912.387207,-8.468962669,251.5029602,-2903.911865
-39.47858048,248.43396,-2883.243896,-58.70037079,247.0316162,-2876.490723,-46.67341995,245.9114075,-2878.56665,-15.13035393,249.6077728,-2898.194824,-4.483094215,252.6547546,-2912.245605,-8.580794334,251.3604126,-2903.772705
-39.65624619,248.5035095,-2883.123779,-58.75719833,247.2114563,-2873.968994,-46.89503479,246.0536346,-2878.455566,-15.28492165,249.490448,-2898.029297,-4.584093094,252.4302521,-2912.06958,-8.706131935,251.1863861,-2903.601807
-39.82056046,248.5860443,-2882.976563,-58.96502304,247.4305878,-2873.818359,-47.11307144,246.2044373,-2878.310791,-15.42803288,249.3679657,-2897.821533,-4.679746628,252.1938171,-2911.866455,-8.821121216,251.0042725,-2903.403809
-39.96914291,248.6672058,-2882.819824,-59.12269974,247.6399994,-2873.714111,-47.275177,246.3363342,-2878.147949,-15.54758358,249.2544861,-2897.626953,-4.769052029,251.9628601,-2911.675537,-8.924822807,250.8328247,-2903.212402
-40.11938095,248.7462158,-2882.662842,-59.25735855,247.8351135,-2873.606445,-47.41571426,246.4550476,-2877.983643,-15.67255878,249.1481781,-2897.459229,-4.879374027,251.7416077,-2911.511475,-9.040287018,250.6685944,-2903.04126
-40.28714371,248.8374023,-2882.484131,-59.40767288,248.0533752,-2873.383301,-47.58156586,246.5992737,-2877.799805,-15.81375504,249.0335541,-2897.273193,-5.022912502,251.5130768,-2911.32959,-9.182139397,250.4936218,-2902.854248
-40.53902817,248.9736786,-2882.26001,-59.68618393,248.3899384,-2873.148682,-47.8890152,246.8290253,-2877.577637,-16.04573822,248.8707275,-2896.992188,-5.214230537,251.1803131,-2911.054443,-9.406777382,250.2502899,-2902.588867
-40.9422226,249.1562042,-2882.010498,-60.11219406,248.8779449,-2873.029785,-48.31718445,247.1352234,-2877.334473,-16.38338661,248.6479797,-2896.617676,-5.437643051,250.7011108,-2910.645996,-9.687449455,249.9070587,-2902.191162
-41.45415878,249.3995209,-2881.720947,-60.66543961,249.4594727,-2872.900391,-48.89788818,247.5273285,-2877.074219,-16.80236816,248.3883057,-2896.145752,-5.753667831,250.1532745,-2910.140137,-10.06622696,249.5031433,-2901.707031
-42.0436058,249.6824646,-2881.410645,-61.26028442,250.09552,-2872.667725,-49.52630615,247.9756317,-2876.795898,-17.30772781,248.1302338,-2895.665527,-6.146877766,249.570282,-2909.609131,-10.50413036,249.0726166,-2901.182373
-42.60292816,249.9783478,-2881.107666,-61.85794449,250.7429199,-2872.514404,-50.13941574,248.4300537,-2876.497314,-17.81894112,247.8887787,-2895.169922,-6.564280987,249.0158081,-2909.089111,-10.98583412,248.6738739,-2900.677002
-43.11673355,250.2492676,-2880.797607,-62.39060593,251.2781525,-2872.365234,-50.67769623,248.8283997,-2876.199463,-18.2898674,247.7150726,-2894.741943,-6.986913204,248.5515442,-2908.638184,-11.42314816,248.3583832,-2900.234619
-43.45616913,250.4345703,-2880.475586,-62.71759415,251.6661835,-2871.962646,-51.01940918,249.1276703,-2875.847168,-18.68741036,247.5749969,-2894.418457,-7.400163651,248.1798859,-2908.349854,-11.83776474,248.1099396,-2899.94165
-43.75277329,250.6212769,-2880.115479,-62.96940994,252.0356903,-2871.532471,-51.30237198,249.4140015,-2875.432617,-19.06639671,247.4609833,-2894.143311,-7.839712143,247.8470917,-2908.120361,-12.22062397,247.8910828,-2899.689209
-44.07985306,250.8838501,-2879.705078,-63.31280136,252.5084076,-2871.134277,-51.654953,249.7861023,-2875.004395,-19.46478081,247.3449554,-2893.72998,-8.252327919,247.4686584,-2907.742676,-12.62822819,247.6564636,-2899.30542
-44.56829453,251.2169342,-2879.290039,-63.7414856,253.1634827,-2870.752441,-52.13858795,250.2779999,-2874.575439,-19.95664406,247.1826477,-2893.229248,-8.735462189,246.9729614,-2907.227539,-13.09880257,247.3323212,-2898.791016
-45.07053375,251.6419525,-2878.844971,-64.24996185,253.9887543,-2870.413818,-52.68161392,250.8987427,-2874.130859,-20.51746178,246.9930267,-2892.644287,-9.288858414,246.3934631,-2906.634521,-13.66998863,246.9520416,-2898.216064
-45.63214493,252.1141968,-2878.421631,-64.76451874,254.9043579,-2870.137695,-53.26101303,251.6014099,-2873.710449,-21.09752846,246.7886505,-2892.033691,-9.847744942,245.7353668,-2906.00293,-14.24717712,246.5330505,-2897.612061
