Number of frames: 2500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z
30,53.770736694,255.140655518,-2899.611328125,48.385494232,259.024749756,-2880.473632813,53.069747925,254.031738281,-2890.804199219,55.902217865,251.939529419,-2928.036132813,51.056838989,252.937652588,-2945.023681641,55.392707825,251.704086304,-2936.615722656,
31,53.495742798,255.115829468,-2899.107666016,48.004554749,259.266876221,-2880.035644531,52.771602631,254.118377686,-2890.295654297,55.687175751,251.564041138,-2927.479980469,50.941814423,252.343551636,-2944.499755859,55.244583130,251.217422485,-2936.065185547,
32,53.231384277,255.149398804,-2898.561035156,47.620140076,259.628326416,-2879.589843750,52.474979401,254.281036377,-2889.742187500,55.520542145,251.127105713,-2926.857910156,50.893119812,251.645080566,-2943.915039063,55.143218994,250.648483276,-2935.445556641,
33,52.974609375,255.217712402,-2898.008300781,47.226715088,260.048278809,-2879.134521484,52.188571930,254.486129761,-2889.178710938,55.365608215,250.667373657,-2926.208984375,50.838634491,250.911224365,-2943.300292969,55.043407440,250.039810181,-2934.796875000,
34,52.726638794,255.269470215,-2897.431396484,46.938613892,260.435668945,-2878.645019531,51.916492462,254.676300049,-2888.597167969,55.171730042,250.283721924,-2925.544189453,50.717121124,250.241195679,-2942.650634766,54.897319794,249.498382568,-2934.124267578,
35,52.492210388,255.388107300,-2896.783691406,46.668483734,260.835754395,-2878.083007813,51.668724060,254.893936157,-2887.947998047,54.985542297,249.974639893,-2924.803955078,50.596107483,249.681381226,-2941.925292969,54.742465973,249.074539185,-2933.384277344,
36,52.279544830,255.611968994,-2896.042724609,46.391765594,261.359710693,-2877.433593750,51.215282440,255.751510620,-2887.380859375,54.855342865,249.789962769,-2923.963623047,50.524616241,249.241302490,-2941.101806641,54.623256683,248.774993896,-2932.544921875,
37,52.112674713,255.950897217,-2895.217285156,46.148826599,261.964904785,-2876.696289063,50.994430542,256.237365723,-2886.562011719,54.792201996,249.745712280,-2923.035400391,50.533905029,248.943435669,-2940.185302734,54.608589172,248.600860596,-2931.609375000,
38,51.978839874,256.422241211,-2894.339599609,45.930324554,262.700317383,-2875.929931641,50.813907623,256.840362549,-2885.694580078,54.826374054,249.813125610,-2922.045898438,50.665035248,248.740951538,-2939.206298828,54.697093964,248.532394409,-2930.610595703,
39,51.893527985,257.028259277,-2893.470947266,45.679569244,263.616516113,-2875.199951172,50.673919678,257.600128174,-2884.838378906,54.970127106,249.999633789,-2921.035888672,50.928871155,248.624099731,-2938.212158203,54.919502258,248.562576294,-2929.583496094,
40,51.901863098,257.834503174,-2892.745849609,45.495693207,264.774383545,-2874.652343750,50.614246368,258.578613281,-2884.134521484,55.225334167,250.238052368,-2920.127197266,51.322963715,248.471313477,-2937.300048828,55.236953735,248.625030518,-2928.655517578,
41,52.049991608,258.588226318,-2892.189697266,45.458057404,265.880554199,-2874.285400391,50.662582397,259.524169922,-2883.602050781,55.570377350,250.427246094,-2919.363525391,51.806896210,248.248382568,-2936.526123047,55.645900726,248.617477417,-2927.864501953,
42,52.211502075,259.129943848,-2891.673339844,45.473434448,266.692291260,-2873.924316406,50.771980286,260.227966309,-2883.112548828,55.983364105,250.500900269,-2918.662109375,52.337333679,247.962921143,-2935.808105469,56.125858307,248.530273438,-2927.139892578,
43,52.442443848,259.604766846,-2891.197509766,45.504905701,267.397918701,-2873.601074219,50.912300110,260.840576172,-2882.661865234,56.412033081,250.568191528,-2918.014892578,52.911888123,247.687179565,-2935.125976563,56.651969910,248.432510376,-2926.458251953,
44,52.618247986,260.015991211,-2890.782958984,45.455772400,267.975921631,-2873.346435547,51.039028168,261.373992920,-2882.272216797,56.936355591,250.632049561,-2917.418945313,53.584178925,247.417892456,-2934.511230469,57.244480133,248.357543945,-2925.837890625,
45,52.942901611,260.337768555,-2890.428466797,45.564434052,268.424072266,-2873.110107422,51.278678894,261.798736572,-2881.941406250,57.454612732,250.706527710,-2916.928710938,54.228843689,247.214385986,-2933.996093750,57.837219238,248.331924438,-2925.325927734,
46,53.288150787,260.583221436,-2890.180664063,45.854537964,268.710266113,-2872.915039063,51.640933990,262.088531494,-2881.697753906,57.951084137,250.795364380,-2916.594970703,54.765956879,247.109939575,-2933.635009766,58.391487122,248.343475342,-2924.972167969,
47,53.733959198,260.767028809,-2890.063232422,46.242439270,268.858856201,-2872.797119141,52.094501495,262.281097412,-2881.578857422,58.425086975,250.944580078,-2916.453125000,55.158725739,247.139572144,-2933.470947266,58.835048676,248.462951660,-2924.826904297,
48,54.113216400,261.006225586,-2890.074707031,46.689414978,268.993774414,-2872.746582031,52.540283203,262.511413574,-2881.573486328,58.803031921,251.198196411,-2916.467041016,55.415374756,247.298828125,-2933.453613281,59.135631561,248.716232300,-2924.844238281,
49,54.423206329,261.323547363,-2890.096923828,47.029121399,269.206390381,-2872.715087891,52.927391052,262.822662354,-2881.582519531,59.079124451,251.540527344,-2916.502197266,55.558280945,247.512573242,-2933.449707031,59.300785065,249.048080444,-2924.891113281,
