Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z
127.0013123,265.9807129,-2801.637939,117.9536819,261.8635559,-2783.937988,123.496521,261.5393066,-2794.790527,134.6548462,275.4105225,-2827.661865,136.2245636,285.6864929,-2841.323486,137.6611176,279.1896057,-2834.46875
127.0081253,265.9917297,-2801.637207,117.9178391,261.8672791,-2783.943848,123.5062408,261.5480957,-2794.788574,134.6600342,275.4238281,-2827.6604,136.2250214,285.6936035,-2841.324219,137.6602325,279.1965942,-2834.468506
127.0134125,266.0084534,-2801.635986,117.8983459,261.8695984,-2783.94458,123.5148163,261.5618896,-2794.786621,134.6678619,275.4371643,-2827.657959,136.2159271,285.7036743,-2841.322998,137.6530151,279.2060852,-2834.468018
127.0083694,265.9976196,-2801.632568,117.8838654,261.8682556,-2783.945313,123.513176,261.5501404,-2794.782959,134.6659698,275.428009,-2827.655029,136.1992645,285.7031555,-2841.322266,137.6356506,279.2073669,-2834.468262
127.0085907,265.9887695,-2801.632568,117.8819122,261.8665771,-2783.944092,123.506958,261.5446167,-2794.783203,134.6599121,275.4205627,-2827.654541,136.1804962,285.7046814,-2841.325928,137.6180725,279.2076721,-2834.470215
127.0110703,265.9858398,-2801.631104,117.8911438,261.8594666,-2783.94165,123.5079803,261.544281,-2794.782715,134.6639862,275.4159546,-2827.653564,136.1639862,285.7076721,-2841.327637,137.5992584,279.2106628,-2834.472656
127.0030899,265.9856262,-2801.630859,117.8889389,261.8596497,-2783.939697,123.509346,261.5374756,-2794.780273,134.6652832,275.4107666,-2827.653076,136.1504822,285.7049561,-2841.327637,137.5853882,279.2077942,-2834.473145
127.0022202,265.9746094,-2801.631836,117.890564,261.8541565,-2783.940186,123.5034027,261.5284119,-2794.782227,134.6560669,275.4019165,-2827.653076,136.1440125,285.6991577,-2841.329102,137.5768433,279.2044067,-2834.475098
126.9997787,265.9790649,-2801.634766,117.8965683,261.874176,-2783.942871,123.5110016,261.5277405,-2794.781006,134.6560822,275.4071655,-2827.656006,136.1520844,285.6966248,-2841.329834,137.5845184,279.2008362,-2834.475586
127.0072327,265.9897156,-2801.633057,117.9061813,261.881958,-2783.943848,123.5160522,261.5391235,-2794.781982,134.6603088,275.4227295,-2827.658447,136.1665802,285.6974792,-2841.327393,137.6031036,279.1987915,-2834.472412
127.0063553,265.9916992,-2801.63501,117.9251328,261.879425,-2783.940186,123.5180817,261.5420837,-2794.783203,134.6585541,275.4237671,-2827.659912,136.1828918,285.6949158,-2841.325439,137.6200104,279.1988831,-2834.470215
127.0086365,265.9931946,-2801.63623,117.9364548,261.8892517,-2783.94043,123.5158005,261.5435791,-2794.785645,134.6566315,275.4246826,-2827.662354,136.1911926,285.6945496,-2841.325928,137.6276855,279.1982117,-2834.471191
127.0087357,265.9967346,-2801.63623,117.9550323,261.877655,-2783.936768,123.5160446,261.5487976,-2794.787109,134.6568604,275.427948,-2827.662109,136.1982574,285.6946106,-2841.324463,137.6342316,279.1968384,-2834.471191
127.0169067,266.0020142,-2801.63501,117.985405,261.8709106,-2783.931641,123.5230942,261.5541077,-2794.785156,134.6610565,275.4345398,-2827.662109,136.2013855,285.6968079,-2841.32373,137.6384583,279.1986694,-2834.469482
127.016037,265.9947205,-2801.635254,118.0084763,261.8574524,-2783.92749,123.5246811,261.542572,-2794.783691,134.6582794,275.4281616,-2827.662109,136.1984558,285.6984253,-2841.324951,137.6337128,279.2001343,-2834.471924
127.0014038,265.9830627,-2801.637451,118.0160446,261.8500061,-2783.92627,123.5132904,261.5325928,-2794.785156,134.6549072,275.4153137,-2827.661865,136.1993408,285.6945496,-2841.326904,137.6352081,279.1965332,-2834.4729
127.0000153,265.9819946,-2801.635254,118.036644,261.8400879,-2783.922852,123.5105057,261.5325623,-2794.784424,134.6560516,275.4143677,-2827.6604,136.2013855,285.6944275,-2841.324463,137.6354065,279.1980896,-2834.471924
126.9960632,265.9818115,-2801.634033,118.0401764,261.8325806,-2783.919678,123.514595,261.5276794,-2794.78125,134.6536255,275.4142761,-2827.658691,136.2046051,285.6957092,-2841.324463,137.6387634,279.1985168,-2834.470947
